rq,dataset,fold,method,required_seed,available_seed,status,expected_artifact_path,command_hint,priority,split_type,reason
RQ1,Zenodo 11079764,all,EsCapturer-full repaired,7,,pending,datasets_50k/zenodo_11079764/results/rq1_repaired_balanced/full/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_escapture_evaluation.py --data datasets_50k/zenodo_11079764/data/zenodo_main_50k.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/rq1_repaired_balanced --experiment main --variant full --objective bce --max-units 16 --unit-selection uniform-cover --benign-sampling epoch-resample --seeds 7 --epochs 30 --patience 5 --min-delta 0.0001 --save-view-weights,P0,50k balanced seed-7 single split,Quo Vadis is complete; Zenodo is the remaining repaired balanced main result
RQ1,Quo Vadis,all,EsCapturer-full repaired,7/17/27,,pending,,See project runner or create a scoped command before execution,P0,leakage-safe group/exact-sequence-disjoint,final repaired configuration is not complete across three seeds
RQ1,Zenodo 11079764,all,EsCapturer-full repaired,7/17/27,,pending,,See project runner or create a scoped command before execution,P0,leakage-safe group/exact-sequence-disjoint,final repaired configuration is not complete across three seeds
RQ1,Quo Vadis,all,API2Vec++,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Quo Vadis,all,DawnGNN reimplementation,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Quo Vadis,all,GPT4-API-BERT-CNN adapted,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Quo Vadis,all,DeepCapa adapted,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Quo Vadis,all,APILI adapted,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Quo Vadis,all,MME fallback,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
RQ1,Zenodo 11079764,all,API2Vec++,7/17/27,,pending,,See project runner or create a scoped command before execution,P2,leakage-safe group/exact-sequence-disjoint,only preliminary or no leakage-safe artifact exists
