dataset,method,seed,split_type,sample_count,artifact_path,accuracy,precision,recall,f1,auc,status,reason
Quo Vadis,EsCapturer-full legacy DSVDD,17,leakage-safe diagnostic,6636,datasets_50k/quo_vadis/results/full_model/full/seed_17/metrics.json,0.8552763819095477,0.7644230769230769,0.6259842519685039,0.6883116883116883,0.867427502736247,diagnostic,leakage-safe but legacy five-unit configuration; not the repaired confirmatory model
Quo Vadis,EsCapturer-full legacy DSVDD,27,leakage-safe diagnostic,6636,datasets_50k/quo_vadis/results/full_model/full/seed_27/metrics.json,0.8452261306532663,0.7049180327868853,0.6771653543307087,0.6907630522088354,0.8606426727023495,diagnostic,leakage-safe but legacy five-unit configuration; not the repaired confirmatory model
Quo Vadis,EsCapturer-full legacy DSVDD,7,leakage-safe diagnostic,6636,datasets_50k/quo_vadis/results/full_model/full/seed_7/metrics.json,0.8623115577889447,0.7312252964426877,0.7283464566929134,0.7297830374753451,0.8903004027330592,diagnostic,leakage-safe but legacy five-unit configuration; not the repaired confirmatory model
Quo Vadis,EsCapturer-full repaired,7/17/27,confirmatory required,6636,"",,,,,,pending,final repaired head/configuration not complete across three seeds
Quo Vadis,P2 DSVDD repair diagnostic,7,leakage-safe single-seed diagnostic,6636,datasets_50k/quo_vadis/results/full_model_repairs/p2_unit16_uniform_epoch_resample/full/seed_7/metrics.json,0.8562814070351759,0.68561872909699,0.8070866141732284,0.7414104882459313,0.9005865663553189,diagnostic,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
Quo Vadis,P3a gating repair diagnostic,7,leakage-safe single-seed diagnostic,6636,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/full/seed_7/metrics.json,0.8391959798994975,0.6477987421383647,0.8110236220472441,0.7202797202797203,0.8497933203693667,diagnostic,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
Quo Vadis,P3a view-weight audit,7,leakage-safe single-seed diagnostic,995,datasets_50k/quo_vadis/results/full_model_repairs/p3a_gating_regularization/view_weight_analysis_seed_7.json,,,,0.7203,,diagnostic,single-seed gating interpretability audit; not final three-seed RQ5 evidence
Quo Vadis,P3b BCE repair diagnostic,7,leakage-safe single-seed diagnostic,6636,datasets_50k/quo_vadis/results/full_model_repairs/p3b_supervised_bce/full/seed_7/metrics.json,0.8854271356783919,0.8153153153153153,0.7125984251968503,0.7605042016806722,0.8974013622791079,diagnostic,explicit single-seed repair diagnostic; validation-selected threshold; not a final three-seed result
Quo Vadis,api2vecpp,7,preliminary binary-stratified,50000,datasets_50k/quo_vadis/results/api2vecpp_metrics.json,0.9265333333333333,0.9083482256829206,0.9488,0.9281335594104604,0.9823943466666666,diagnostic,preliminary 50k binary-stratified split; retained only as diagnostic and excluded from confirmatory table
Quo Vadis,api2vecpp,7/17/27,leakage-safe required,6636,"",,,,,,pending,no complete leakage-safe three-seed artifact found
